a,b,overlap,both_dense
recon,rce,1.0,True
recon,dropper,0.9997,True
recon,exfil,1.0,False
recon,c2,1.0,False
recon,evasion,1.0,False
recon,k8s,1.0,False
recon,supply-chain,1.0,False
recon,tailscale,1.0,False
rce,dropper,0.9957,True
rce,exfil,1.0,False
rce,c2,1.0,False
rce,evasion,1.0,False
rce,k8s,1.0,False
rce,supply-chain,1.0,False
rce,tailscale,1.0,False
dropper,exfil,1.0,False
dropper,c2,1.0,False
dropper,evasion,1.0,False
dropper,k8s,1.0,False
dropper,supply-chain,1.0,False
dropper,tailscale,1.0,False
exfil,c2,1.0,False
exfil,evasion,1.0,False
exfil,k8s,1.0,False
exfil,supply-chain,0.9842,False
exfil,tailscale,0.9799,False
c2,evasion,1.0,False
c2,k8s,1.0,False
c2,supply-chain,0.9519,False
c2,tailscale,0.9432,False
evasion,k8s,1.0,False
evasion,supply-chain,0.6733,False
evasion,tailscale,0.6269,False
k8s,supply-chain,0.7924,False
k8s,tailscale,0.5904,False
supply-chain,tailscale,0.9979,False
